university_id,university_name,country,region,year,subject_area,total_students,international_students,academic_staff,student_faculty_ratio,international_student_pct,publications_count,citations_count,academic_reputation_score,employer_reputation_score,faculty_student_score,citations_per_faculty,intl_faculty_ratio,sustainability_score,employment_outcomes_score,the_teaching_score,the_research_environment,the_research_quality,the_industry_score,the_international_outlook,raw_overall_score,source_qs,source_the,rank
UNIV_242880,Massachusetts Institute of Technology,United States,North America,2020,Arts & Humanities,38352,13039,12784,3.6,31.9,152445,487824,93.7,86.8,89.9,68.7,39.9,98.0,86.4,92,91.8,65.3,44.8,47.8,93.7,QS World University Rankings,Times Higher Education World University Rankings,1
UNIV_242880,Massachusetts Institute of Technology,United States,North America,2021,Arts & Humanities,38352,13039,12784,3.5,32.8,161618,541420,95.3,97.0,90.2,76.2,41.0,95.6,96.6,93,96.3,72.4,91.6,49.2,95.3,QS World University Rankings,Times Higher Education World University Rankings,1
UNIV_242880,Massachusetts Institute of Technology,United States,North America,2022,Arts & Humanities,38352,13039,12784,3.4,32.7,169969,594891,96.3,100.0,90.5,83.8,40.9,82.1,94.3,93,92.7,79.6,54.4,49.1,96.3,QS World University Rankings,Times Higher Education World University Rankings,1
UNIV_242880,Massachusetts Institute of Technology,United States,North America,2023,Arts & Humanities,38352,13039,12784,3.2,33.4,177993,649674,99.0,99.3,91.0,91.5,41.8,89.1,92.4,95,98.0,86.9,81.9,50.1,99.0,QS World University Rankings,Times Higher Education World University Rankings,1
UNIV_242880,Massachusetts Institute of Technology,United States,North America,2024,Arts & Humanities,38352,13039,12784,3.0,34.1,186041,706955,99.8,100.0,91.6,99.5,42.6,87.4,94.8,96,96.0,94.5,56.0,51.2,99.8,QS World University Rankings,Times Higher Education World University Rankings,1
UNIV_064950,University of Cambridge,United Kingdom,Europe,2020,Natural Sciences,12560,4835,2791,4.9,36.6,122536,392115,94.1,89.5,86.3,100.0,45.8,88.1,87.6,90,89.4,95.0,49.7,54.9,93.0,QS World University Rankings,Times Higher Education World University Rankings,2
UNIV_064950,University of Cambridge,United Kingdom,Europe,2021,Natural Sciences,12560,4835,2791,4.9,36.8,130526,437262,95.6,88.8,86.3,100.0,46.0,81.0,84.9,91,92.9,95.0,47.5,55.2,94.5,QS World University Rankings,Times Higher Education World University Rankings,3
UNIV_064950,University of Cambridge,United Kingdom,Europe,2022,Natural Sciences,12560,4835,2791,5.0,37.3,137312,480592,96.0,89.8,86.0,100.0,46.6,90.4,83.8,91,91.5,95.0,63.4,55.9,94.9,QS World University Rankings,Times Higher Education World University Rankings,2
UNIV_064950,University of Cambridge,United Kingdom,Europe,2023,Natural Sciences,12560,4835,2791,4.8,37.9,143449,523588,98.2,92.1,86.6,100.0,47.4,85.2,89.3,92,100.0,95.0,45.3,56.8,97.1,QS World University Rankings,Times Higher Education World University Rankings,2
UNIV_064950,University of Cambridge,United Kingdom,Europe,2024,Natural Sciences,12560,4835,2791,4.3,38.4,150343,571303,98.6,94.4,88.0,100.0,48.0,88.7,88.4,93,99.7,95.0,79.8,57.6,97.5,QS World University Rankings,Times Higher Education World University Rankings,3
UNIV_376714,University of Oxford,United Kingdom,Europe,2020,Natural Sciences,32779,13439,7804,4.7,39.4,133337,426678,94.0,95.3,86.8,98.4,49.2,84.2,93.1,90,95.0,93.5,62.1,59.1,92.3,QS World University Rankings,Times Higher Education World University Rankings,3
UNIV_376714,University of Oxford,United Kingdom,Europe,2021,Natural Sciences,32779,13439,7804,4.8,39.5,141008,472376,96.2,99.5,86.6,100.0,49.4,89.6,95.1,91,95.5,95.0,45.7,59.2,94.6,QS World University Rankings,Times Higher Education World University Rankings,2
UNIV_376714,University of Oxford,United Kingdom,Europe,2022,Natural Sciences,32779,13439,7804,4.6,40.1,148474,519659,96.0,97.1,87.1,100.0,50.1,96.1,90.8,92,97.4,95.0,70.4,60.2,94.4,QS World University Rankings,Times Higher Education World University Rankings,3
UNIV_376714,University of Oxford,United Kingdom,Europe,2023,Natural Sciences,32779,13439,7804,4.3,40.9,156066,569640,97.6,99.3,88.0,100.0,51.1,93.4,99.4,93,95.8,95.0,60.7,61.3,95.9,QS World University Rankings,Times Higher Education World University Rankings,3
UNIV_376714,University of Oxford,United Kingdom,Europe,2024,Natural Sciences,32779,13439,7804,4.3,41.1,162796,618624,99.3,97.0,88.0,100.0,51.4,97.5,96.7,94,99.2,95.0,90.9,61.7,97.6,QS World University Rankings,Times Higher Education World University Rankings,2
UNIV_130569,Harvard University,United States,North America,2020,Social Sciences & Management,24532,6255,6133,4.5,23.6,170262,544838,94.0,86.9,87.4,100.0,29.5,78.3,86.9,91,92.8,95.0,59.7,35.4,91.4,QS World University Rankings,Times Higher Education World University Rankings,5
UNIV_130569,Harvard University,United States,North America,2021,Social Sciences & Management,24532,6255,6133,4.5,24.2,179945,602815,95.5,96.6,87.4,100.0,30.2,86.8,96.9,91,90.9,95.0,55.3,36.3,92.8,QS World University Rankings,Times Higher Education World University Rankings,4
UNIV_130569,Harvard University,United States,North America,2022,Social Sciences & Management,24532,6255,6133,4.3,24.6,189252,662382,96.4,89.6,88.0,100.0,30.8,,86.4,92,97.5,95.0,94.9,36.9,93.7,QS World University Rankings,Times Higher Education World University Rankings,4
UNIV_130569,Harvard University,United States,North America,2023,Social Sciences & Management,24532,6255,6133,4.3,25.1,198411,724200,98.3,94.6,88.0,100.0,31.4,86.5,91.7,93,99.7,95.0,41.9,37.7,95.6,QS World University Rankings,Times Higher Education World University Rankings,4
UNIV_130569,Harvard University,United States,North America,2024,Social Sciences & Management,24532,6255,6133,4.0,25.7,208381,791847,99.3,93.8,88.8,100.0,32.1,92.5,93.0,94,100.0,95.0,83.4,38.5,96.5,QS World University Rankings,Times Higher Education World University Rankings,4
UNIV_467726,Stanford University,United States,North America,2020,Life Sciences & Medicine,15224,3684,4006,4.3,22.6,154146,493267,94.3,97.6,88.0,100.0,28.2,84.7,88.0,91,90.8,95.0,46.6,33.9,91.5,QS World University Rankings,Times Higher Education World University Rankings,4
UNIV_467726,Stanford University,United States,North America,2021,Life Sciences & Medicine,15224,3684,4006,4.3,22.9,162854,545560,94.5,91.8,88.0,100.0,28.6,94.7,88.1,91,91.8,95.0,81.3,34.3,91.7,QS World University Rankings,Times Higher Education World University Rankings,5
UNIV_467726,Stanford University,United States,North America,2022,Life Sciences & Medicine,15224,3684,4006,4.2,23.7,171896,601636,96.3,94.4,88.2,100.0,29.6,97.7,94.4,92,97.5,95.0,54.0,35.5,93.4,QS World University Rankings,Times Higher Education World University Rankings,5
UNIV_467726,Stanford University,United States,North America,2023,Life Sciences & Medicine,15224,3684,4006,4.0,23.9,180120,657438,97.2,92.6,88.8,100.0,29.9,86.7,85.7,93,95.9,95.0,59.1,35.8,94.2,QS World University Rankings,Times Higher Education World University Rankings,5
UNIV_467726,Stanford University,United States,North America,2024,Life Sciences & Medicine,15224,3684,4006,3.8,24.1,189635,720613,99.3,98.2,89.4,100.0,30.1,96.7,91.8,94,96.6,95.0,68.8,36.2,96.3,QS World University Rankings,Times Higher Education World University Rankings,5
UNIV_305932,Imperial College London,United Kingdom,Europe,2020,Life Sciences & Medicine,12990,7664,2706,5.3,57.2,107912,345318,92.5,86.0,85.2,100.0,71.5,79.9,86.8,89,87.1,95.0,75.9,85.8,89.9,QS World University Rankings,Times Higher Education World University Rankings,6
UNIV_305932,Imperial College London,United Kingdom,Europe,2021,Life Sciences & Medicine,12990,7664,2706,5.1,57.4,114958,385109,93.3,95.3,85.7,100.0,71.8,85.9,95.2,90,90.7,95.0,94.2,86.1,90.6,QS World University Rankings,Times Higher Education World University Rankings,6
UNIV_305932,Imperial College London,United Kingdom,Europe,2022,Life Sciences & Medicine,12990,7664,2706,5.1,58.4,118646,415261,95.5,98.9,85.7,100.0,73.0,84.9,98.5,91,91.4,95.0,70.0,87.6,92.8,QS World University Rankings,Times Higher Education World University Rankings,6
UNIV_305932,Imperial College London,United Kingdom,Europe,2023,Life Sciences & Medicine,12990,7664,2706,5.1,58.3,125807,459195,96.9,90.6,85.7,100.0,72.9,86.1,87.7,91,92.5,95.0,84.0,87.4,94.1,QS World University Rankings,Times Higher Education World University Rankings,6
UNIV_305932,Imperial College London,United Kingdom,Europe,2024,Life Sciences & Medicine,12990,7664,2706,4.7,58.7,131903,501231,99.1,91.4,86.8,100.0,73.4,92.2,92.8,93,96.3,95.0,63.1,88.1,96.2,QS World University Rankings,Times Higher Education World University Rankings,6
UNIV_578981,ETH Zurich,Switzerland,Europe,2020,Engineering & Technology,43849,18855,7072,6.8,41.4,97306,311379,91.7,91.9,81.0,79.3,51.8,91.1,90.4,86,91.6,75.3,56.0,62.1,88.5,QS World University Rankings,Times Higher Education World University Rankings,7
UNIV_578981,ETH Zurich,Switzerland,Europe,2021,Engineering & Technology,43849,18855,7072,6.7,41.5,102571,343612,92.8,88.2,81.2,87.5,51.9,90.7,80.5,87,93.4,83.1,73.2,62.2,89.5,QS World University Rankings,Times Higher Education World University Rankings,8
UNIV_578981,ETH Zurich,Switzerland,Europe,2022,Engineering & Technology,43849,18855,7072,6.4,41.8,107470,376145,93.3,89.8,82.1,95.7,52.2,77.7,91.4,88,87.9,90.9,76.4,62.7,90.1,QS World University Rankings,Times Higher Education World University Rankings,8
UNIV_578981,ETH Zurich,Switzerland,Europe,2023,Engineering & Technology,43849,18855,7072,6.5,42.3,113418,413975,95.1,95.8,81.8,100.0,52.9,90.6,87.5,88,94.4,95.0,55.4,63.4,91.7,QS World University Rankings,Times Higher Education World University Rankings,7
UNIV_578981,ETH Zurich,Switzerland,Europe,2024,Engineering & Technology,43849,18855,7072,6.1,42.9,117963,448259,96.5,96.9,82.9,100.0,53.6,85.0,90.9,90,91.2,95.0,77.8,64.3,93.2,QS World University Rankings,Times Higher Education World University Rankings,7
UNIV_976483,National University of Singapore,Singapore,Asia,2020,Engineering & Technology,29009,9427,3867,7.9,30.5,103162,330118,89.8,88.1,77.9,100.0,38.1,84.2,86.3,84,86.5,95.0,47.7,45.8,86.2,QS World University Rankings,Times Higher Education World University Rankings,9
UNIV_976483,National University of Singapore,Singapore,Asia,2021,Engineering & Technology,29009,9427,3867,7.9,30.9,108330,362905,93.6,88.0,77.9,100.0,38.6,89.9,88.0,86,94.6,95.0,73.4,46.3,89.8,QS World University Rankings,Times Higher Education World University Rankings,7
UNIV_976483,National University of Singapore,Singapore,Asia,2022,Engineering & Technology,29009,9427,3867,7.5,31.6,113569,397491,94.4,90.4,79.0,100.0,39.5,92.8,83.2,87,91.4,95.0,82.6,47.4,90.6,QS World University Rankings,Times Higher Education World University Rankings,7
UNIV_976483,National University of Singapore,Singapore,Asia,2023,Engineering & Technology,29009,9427,3867,7.6,32.2,119191,435047,95.1,90.4,78.7,100.0,40.2,79.3,84.8,87,96.1,95.0,59.1,48.3,91.3,QS World University Rankings,Times Higher Education World University Rankings,8
UNIV_976483,National University of Singapore,Singapore,Asia,2024,Engineering & Technology,29009,9427,3867,7.5,32.9,124043,471363,96.9,92.6,79.0,100.0,41.1,90.7,88.0,88,91.6,95.0,66.9,49.3,93.0,QS World University Rankings,Times Higher Education World University Rankings,8
UNIV_677696,UCL,United Kingdom,Europe,2020,Arts & Humanities,38093,19427,7469,5.7,49.1,116665,373328,90.1,88.0,84.0,90.0,61.4,88.7,87.3,87,90.5,85.5,84.7,73.7,86.3,QS World University Rankings,Times Higher Education World University Rankings,8
UNIV_677696,UCL,United Kingdom,Europe,2021,Arts & Humanities,38093,19427,7469,5.5,50.1,122519,410438,92.4,86.3,84.6,98.9,62.6,76.6,79.3,88,88.7,94.0,66.9,75.2,88.4,QS World University Rankings,Times Higher Education World University Rankings,9
UNIV_677696,UCL,United Kingdom,Europe,2022,Arts & Humanities,38093,19427,7469,5.7,49.5,129650,453775,93.5,91.8,84.0,100.0,61.9,76.2,82.6,89,88.6,95.0,45.6,74.2,89.5,QS World University Rankings,Times Higher Education World University Rankings,9
UNIV_677696,UCL,United Kingdom,Europe,2023,Arts & Humanities,38093,19427,7469,5.3,50.7,135137,493250,95.2,89.6,85.2,100.0,63.4,92.1,90.2,90,96.0,95.0,63.8,76.1,91.1,QS World University Rankings,Times Higher Education World University Rankings,9
UNIV_677696,UCL,United Kingdom,Europe,2024,Arts & Humanities,38093,19427,7469,5.2,51.0,141823,538927,95.1,96.8,85.4,100.0,63.8,94.0,90.6,90,96.6,95.0,48.3,76.5,91.0,QS World University Rankings,Times Higher Education World University Rankings,9
